vehicle_year,make,model,vehicle_type,license_number,vehicle_state,serial_number,usdot_number,empty_weight,registered_weight
1991,Subaru,Loyale,mauris,JCS 7429,NE,SI94 2157 3419 7958 362,3726173,19993,17811
2005,Ford,F-Series,magna ac,RKD 7026,NJ,KW56 KWWQ EIOL 53KL 8VNL 0GLU JKFU QI,1534578,6184,8294
2002,Pontiac,Firebird,turpis nec,SHQ 7950,MO,AT21 3675 3011 6101 3657,9379291,14839,18353
2011,Volvo,XC60,ante ipsum,CNU 3633,CA,SA78 04TJ A19E ZAAW 5C5K 6MH4,2793918,16667,9345
2012,Lexus,GX,justo in,MET 7012,MN,DE02 3104 5694 5322 1829 01,1229586,19713,6540
2003,Hummer,H2,phasellus,LYR 6673,CA,BR41 6214 9085 1531 2854 4946 916P 7,6864542,19287,18729
2011,Toyota,Prius,ultrices posuere,NTW 5941,IA,FO47 2865 0887 9926 87,9000827,3641,2566
2005,Chevrolet,Blazer,adipiscing,YCT 6424,TX,PK75 JAPG FOOL LFXW YQ7D V33C,8281170,8766,12959
1999,Audi,A8,curae,TBV 2287,GA,CZ76 4081 9678 6034 0930 0624,0513880,5871,16412
2004,Nissan,Pathfinder,nisl duis,MRB 9330,FL,FR79 7134 0828 03W9 WYUS N3HP U05,8963214,3939,9627
2009,Mercedes-Benz,CLS-Class,ultrices,TIA 3641,TX,FR09 4871 4780 11O9 UQ8B ZIP5 506,1562791,19860,14666
1992,Mazda,323,vestibulum,VDH 6508,MN,MC03 4990 4355 65R1 3H20 LBBM A23,5463915,17533,12589
1996,Ford,Club Wagon,donec ut,RMN 2440,NY,DO15 WZNA 7708 4411 9133 5418 7943,1489646,3402,5688
1968,Ford,Mustang,pellentesque ultrices,RCD 4065,FL,AE38 6837 5198 7170 9402 517,1359658,13661,8784
1993,Mercury,Sable,nunc commodo,AEK 8996,OR,AD94 1246 2212 UCYB FKKS ZPNC,8305370,19668,14182
1993,Dodge,D250,amet,AGJ 6613,CA,AL65 3829 2350 M2IM TWMF ERFM ONJP,9491064,6953,16113
2012,Audi,A6,in,CRW 7788,OR,IE62 UIIV 4165 6167 3198 80,5002848,16898,11321
2002,Ford,Excursion,aliquam,ABM 6797,TX,FR90 5365 4104 27RC OVUZ 11BO U32,6709317,12970,15348
2000,Land Rover,Discovery Series II,sed augue,LZP 3322,OK,BA23 5569 0061 6420 4147,7195402,12167,15468
1984,Mitsubishi,Cordia,nibh,EZF 2479,TX,MK04 883Z LA5U AAAV E60,3160579,8010,4520
1996,GMC,Jimmy,in hac,JLQ 5729,KS,AL73 1986 3999 S7MZ ZAVZ 366N SZC9,2092350,6572,19299
2002,Buick,Rendezvous,sed vestibulum,IBO 6991,OH,GL70 7018 2501 9514 20,7884035,5778,2534
1998,Audi,A8,amet eros,CBW 9681,CA,DE84 3299 7154 8121 2660 89,7004161,7055,16177
1997,Mitsubishi,Pajero,volutpat,GUR 3256,CO,ME62 5592 1323 7281 6333 84,6585479,3017,9378
1996,GMC,Savana 2500,posuere,WIP 6449,KY,FO55 1591 2592 1984 99,9102391,9083,3366
1995,Toyota,T100 Xtra,justo,XZC 7160,WA,GI28 YTOU NRFI RRPL VRKI BIY,1616466,6488,5074
1998,Hyundai,Sonata,interdum,VXD 1461,CA,LB02 7239 L8QR 6XJ6 D9N5 4DFL XUCR,7304975,6504,9749
2007,Ford,Focus,interdum eu,PUM 6831,MA,MD34 2WBA 3S7J ITSK X2QK PJYK,7464095,3731,16262
2012,Chevrolet,Impala,mauris enim,JYX 6342,KY,FR60 9562 4373 57SM Y9EP WLMA L69,0226738,3404,12774
2001,Jeep,Wrangler,natoque penatibus,VRQ 8035,FL,FO32 1990 3846 4926 67,7810857,13881,16284
2007,Toyota,Highlander,habitasse platea,QAM 7150,GA,RO96 XADG MYXT 1KFD PC6A G8H1,9727534,11505,11731
2003,Ford,Expedition,dui,XNI 0185,CA,NL06 FULK 4272 4419 27,7028026,11966,18829
1995,Nissan,300ZX,nisl ut,GSU 3036,NV,VG81 PLYR 8127 4347 3732 2654,1159091,19489,10229
2007,Infiniti,QX56,quam,UCY 2006,TX,CZ35 7356 5739 2872 1545 1700,7612588,18644,13731
2003,Nissan,Pathfinder,elementum,QWT 8801,NY,AZ98 SEOF 7NMZ 1R5Q KPPZ QV5S UVBE,8713845,13289,8318
2011,Volkswagen,GTI,ut nunc,DEB 0811,IA,LV56 XVPZ JB0K 9TKM SYB7 S,7872681,14596,19361
2011,Mitsubishi,Eclipse,vel,WHL 5523,OH,HR48 8400 1585 3740 4949 1,0556529,9298,3927
2011,Saab,9-3,duis,PYK 9949,CA,FR98 9582 8803 31TV TFB2 L0YL 915,7525868,14651,12103
2012,Land Rover,LR2,ultrices phasellus,ZLR 6943,OH,FR14 8712 4026 78HX GXFB HYWZ M62,8730101,6481,18121
1994,Volvo,940,luctus nec,MAJ 7226,MO,CR32 6022 6390 8586 9018 6,0290160,12322,16419
2004,Honda,CR-V,mi,LET 6915,AZ,ES04 4021 4445 9112 2544 9611,0994363,14959,3571
1999,Plymouth,Grand Voyager,orci,NGU 7336,VA,KZ38 4093 AQYE AABZ GQTA,4427755,8893,18787
1997,Toyota,Supra,vestibulum sagittis,VTR 9396,MD,NL81 WZZO 3700 9522 89,3971396,13979,3638
2005,Mercury,Sable,hac habitasse,VHO 9277,CO,LU56 777Q M3IY 4NMX TSWQ,0615107,2103,9764
1961,Chevrolet,Corvette,id,GQM 4303,VA,IS33 8254 4956 5097 0241 7345 21,5359746,8196,5840
2001,Chevrolet,Lumina,faucibus,BJD 3055,NY,PK42 SQKJ TKME ZKTM VFYX KZZ3,7893240,13223,15015
1988,Ford,LTD Crown Victoria,tincidunt,HEX 2106,TX,DE17 3513 5775 3328 9859 50,6234229,11681,12882
2004,Acura,TL,viverra,MVG 4484,VA,GL25 8308 3396 1227 08,5958086,16844,16552
2003,Toyota,Solara,nibh quisque,ZQC 8923,NY,GT47 0O5A 3THD 651H R2NT MBDI 75RY,6022274,14863,18802
1993,Mercedes-Benz,600SL,bibendum,XOW 0293,TX,KZ76 036W OHQV A0YD BIML,9030015,3216,3809
1989,Lexus,ES,ante vestibulum,AQV 7331,CA,LV19 OGVF EOIB IV0D X6XW S,0281961,19228,13442
1995,Chevrolet,Lumina,non,XWZ 6121,TX,AD88 8821 8704 XVDV YM5O SXF8,6771580,8061,4823
1969,Pontiac,Firebird,duis,GEW 4409,PA,ME70 7653 1266 0665 7452 99,4823492,16261,14245
2001,Chrysler,300M,sodales,FIA 5556,LA,FR68 3278 8611 58DN X0JH F5SF I73,6931837,2219,7213
2007,Nissan,Xterra,sagittis,JBZ 6076,IN,MD88 5XH0 IROM VGAU 1MNT FM3P,2051211,8039,14281
1994,Mazda,MX-6,in,NJO 3597,TX,LT88 1787 2547 5548 3576,9300422,12876,18112
2009,Acura,RL,nec nisi,INY 8197,IA,SI66 7130 5102 6538 400,0665189,10792,15778
2003,Jeep,Wrangler,integer,GWO 0539,LA,MT95 BJJP 7733 3Z16 JDOC SMO8 M2SV FO0,3993118,10998,6261
2010,BMW,X6,nunc,WBE 5500,DC,VG11 PUAG 5651 8126 9216 4795,8854094,11140,19573
2003,Acura,MDX,tristique,KJU 9594,CA,FR72 0275 4780 350G FC7Y H18G W01,8319079,5364,16372
1990,Volkswagen,Jetta,vel,XSK 0046,IN,AL51 1832 6970 QQB5 BJAR 5ZFG TUAS,8113189,3503,2164
2004,Lotus,Elise,hac,QUI 2371,PA,MT81 RAIJ 4299 3JZP E7ZC JDNS MBSU VHC,3212558,15670,18260
1989,Mitsubishi,Sigma,duis mattis,YOT 2862,CA,CY98 9653 0073 LQLL ACRY GT0I KAOG,8215945,6811,5868
1995,Chevrolet,G-Series G10,accumsan felis,LJG 9051,PA,AL32 1232 6569 Y8QL RYZR LVKU 2QRY,4312888,8753,13385
2010,Chevrolet,Cobalt,pede,PYS 7995,AR,IL48 1848 9287 5133 3502 259,8698990,12305,16745
1992,Mercedes-Benz,190E,commodo vulputate,GNA 3215,FL,CZ94 1396 9823 0773 4776 8138,6836735,9157,8036
2008,Scion,xB,ac,BAP 5456,VA,IE95 YNGR 1279 1114 0545 00,0494201,8293,12482
1975,Chevrolet,Camaro,turpis,WTR 2990,MA,BE71 3611 3061 3731,3500951,6601,8273
2010,Porsche,Boxster,non mi,YME 4220,VA,VG02 YRAU 0010 2202 4460 6785,5476297,2078,9079
1986,Lincoln,Town Car,cras,OWN 6272,FL,GE52 DX78 9236 0808 3568 50,6472634,7758,16083
1990,Mazda,Familia,dictumst etiam,GXA 2402,CO,AD38 3004 9589 55AN BU6L VTYX,3509791,6051,10654
2000,Chevrolet,Tahoe,in,VWL 9740,MO,NO55 0979 3065 312,6321657,7751,12891
1997,Isuzu,Hombre,justo,PDU 7102,PA,GT30 SEBD 7NGZ 4TW8 GFQT 3K1J N6MV,1629246,5518,13063
1984,Lincoln,Town Car,at,PHD 0088,MD,BH66 UPCH E7ZC 2FCU UCOM 8B,2412614,5154,7126
2012,Buick,Regal,id,XWG 2785,AZ,FR56 7923 9219 45YT LNQF PGKT 053,0529850,9823,9527
1999,Oldsmobile,Bravada,sem,XNT 3414,AL,FR09 4538 0991 11ZX D55X KTJA M28,4867527,13087,8430
2003,Mercury,Grand Marquis,hac habitasse,IZH 4537,CT,IL77 5924 5711 8799 7859 566,2625290,18481,8873
2005,Lincoln,Town Car,luctus,FXJ 4508,TN,LV28 FBNF A2TB HCFP A2JF A,7192839,16659,14166
1992,GMC,Safari,urna ut,JYE 9930,CA,KZ41 992P 40Q7 BMPW XENR,3296913,11334,5648
1992,Volkswagen,GTI,in,RND 3652,GA,PK81 NHFS FZJY KXRK CF26 LQ2P,1349346,18139,3830
2009,GMC,Savana 1500,mauris sit,AWH 4683,NY,PK76 GRUR UW1F 3U06 KTAL JNDF,3551437,5379,8842
1988,Volkswagen,Scirocco,sapien,KJI 3281,CT,AL58 3133 3382 0ONT I9JB KING 6CYO,2947638,17256,5059
2004,Mercury,Marauder,nisl nunc,EAR 3875,UT,FR68 8809 1872 00HE 7UX6 1EJ5 U25,5877953,6143,16065
