make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Mercedes-Benz,SL-Class,cum sociis,LU54 153P W0QW A98A RWGL,912 EZN,IL,Mercedes-Benz-SL-Class License #: 912 EZN,9970,7566,16986
Honda,Insight,eu interdum,IL67 4713 2638 6180 1478 815,642 QGY,OH,Honda-Insight License #: 642 QGY,2848,17281,7579
Chevrolet,Silverado,nulla ac,KW13 XVOK PVNZ KPK7 WHQZ Y99J YJCF CA,633 LWS,MO,Chevrolet-Silverado License #: 633 LWS,13786,15077,12639
Pontiac,Firebird,non interdum,RS64 3031 7004 3102 2674 26,351 APC,TX,Pontiac-Firebird License #: 351 APC,3362,10211,5169
Volkswagen,New Beetle,at,FR86 6275 8630 35YK 0TJT LZYJ Q63,381 BQO,NY,Volkswagen-New Beetle License #: 381 BQO,13679,8478,18797
Maserati,Quattroporte,ultrices phasellus,PS61 SXQK JKVW DEGE 9LEB OQYJ MLZD T,102 NLJ,TX,Maserati-Quattroporte License #: 102 NLJ,10108,8346,12192
Volkswagen,Passat,nec nisi,FR43 2559 8427 46JC PXYO MAF4 F60,889 FTC,CO,Volkswagen-Passat License #: 889 FTC,19923,17456,14054
Nissan,Maxima,interdum mauris,NO80 1590 4548 116,350 LHS,NY,Nissan-Maxima License #: 350 LHS,18432,18904,14813
Kia,Optima,ipsum,BE72 7785 6849 4395,004 EBM,CA,Kia-Optima License #: 004 EBM,13579,19106,19503
Chevrolet,Suburban 2500,nisl,HU61 2945 8068 3267 5665 2830 2852,839 NFM,TX,Chevrolet-Suburban 2500 License #: 839 NFM,7985,19015,3760
Toyota,Sequoia,nunc,HU24 6352 1178 1719 1440 1685 6928,334 FHX,WY,Toyota-Sequoia License #: 334 FHX,16137,10479,10313
Lincoln,Continental,vivamus in,SI40 7406 8695 5494 046,713 PEJ,KY,Lincoln-Continental License #: 713 PEJ,9541,12723,17828
GMC,Yukon XL 2500,vivamus,SA98 25VQ HY11 8JGP RIVO 7QJH,677 ROJ,AZ,GMC-Yukon XL 2500 License #: 677 ROJ,19580,2994,18170
GMC,Envoy,at,SM83 A204 3403 670D 1BYI XTKW XYD,273 KLH,FL,GMC-Envoy License #: 273 KLH,11806,13922,17724
Chevrolet,Express 2500,consectetuer,GR61 7224 600J XFSQ 6YHM CTIC YWK,797 BCV,CA,Chevrolet-Express 2500 License #: 797 BCV,19772,14990,17584
Honda,Pilot,interdum in,KZ84 764N 60AL Q8Q6 SCKB,294 IYK,SC,Honda-Pilot License #: 294 IYK,6394,17363,14712
Hyundai,Santa Fe,pede venenatis,ME17 1958 0357 3254 5747 80,736 VWT,MN,Hyundai-Santa Fe License #: 736 VWT,16799,15579,9209
Volvo,S60,montes nascetur,CZ45 7164 3533 6385 4873 0018,842 QUW,GA,Volvo-S60 License #: 842 QUW,5407,8990,14476
Mazda,929,phasellus in,IL36 1973 1016 9800 2268 900,235 BOV,SC,Mazda-929 License #: 235 BOV,3269,12594,16231
Porsche,924,tellus in,AZ04 XLNR 9NLO WNRN 7LOO ZVNX UZFH,357 PIJ,GA,Porsche-924 License #: 357 PIJ,14537,9724,3997
Chevrolet,Sportvan G20,praesent id,FR83 9276 8777 924A UJDU 9P3X 944,099 TLY,KS,Chevrolet-Sportvan G20 License #: 099 TLY,9845,9203,14916
Mazda,Tribute,nec molestie,IL61 1445 2828 8579 8379 761,542 DHQ,AZ,Mazda-Tribute License #: 542 DHQ,8130,15103,9589
Mercedes-Benz,SLK-Class,donec quis,FR04 9736 0590 76L5 BC0W ZGBN C40,849 IRV,TX,Mercedes-Benz-SLK-Class License #: 849 IRV,2700,10334,14802
Chevrolet,Impala,justo,SA91 47TK LIBT OXSI WTEY E1TS,838 QPW,FL,Chevrolet-Impala License #: 838 QPW,17635,9690,4382
Plymouth,Neon,semper rutrum,PS50 KQFR 9PLY WXH3 IOZI 6WSA 91FF V,792 AMS,CT,Plymouth-Neon License #: 792 AMS,17850,11017,5829
Chevrolet,G-Series 2500,id,TN58 3474 3101 8879 9179 1567,668 JBT,TX,Chevrolet-G-Series 2500 License #: 668 JBT,11662,19205,7661
Acura,MDX,leo,FR68 3633 8890 62WM QEGI EZ1P A70,650 UAP,CT,Acura-MDX License #: 650 UAP,13479,5643,11733
Mercedes-Benz,M-Class,ac,DK77 8460 9815 4782 52,050 SVC,TX,Mercedes-Benz-M-Class License #: 050 SVC,15114,2054,15155
Mitsubishi,Montero Sport,etiam,FR21 8311 3611 91UE PDBT UEWK F42,303 YKV,GA,Mitsubishi-Montero Sport License #: 303 YKV,9588,19247,9172
Dodge,Ram 1500,est et,FR67 9967 6823 49GQ DF3Z L3GT C47,848 CDQ,MO,Dodge-Ram 1500 License #: 848 CDQ,16131,17488,8517
Ford,F350,nibh,HR46 4983 9559 3506 8769 7,536 NEH,OK,Ford-F350 License #: 536 NEH,15776,13495,2445
Chevrolet,Corvette,vel sem,IE91 WNJN 8093 7246 9637 34,572 ICQ,MD,Chevrolet-Corvette License #: 572 ICQ,9087,13100,10104
Honda,Insight,elementum,GL37 4101 3941 3529 14,913 CNH,MO,Honda-Insight License #: 913 CNH,4068,2974,2337
Pontiac,G8,dui nec,FO51 9310 5238 2446 65,192 MEV,SC,Pontiac-G8 License #: 192 MEV,16532,17169,10492
Pontiac,Turbo Firefly,maecenas tincidunt,RO66 EDAL FIDC CSGL 3R7C JRWD,127 BLE,NC,Pontiac-Turbo Firefly License #: 127 BLE,15385,10185,18646
Jaguar,XJ Series,semper est,PS02 SDRD KRCM YFAN 6MKX 67UT TSWB G,957 XML,WI,Jaguar-XJ Series License #: 957 XML,15111,4325,19177
Mazda,MX-5,nec,AT61 1880 1565 5453 6125,990 BLF,LA,Mazda-MX-5 License #: 990 BLF,15033,6522,4448
Toyota,Land Cruiser,at,IT50 Q674 2888 554H XADR 1ATE LXR,226 IEL,IA,Toyota-Land Cruiser License #: 226 IEL,7283,4161,8669
Nissan,200SX,dui luctus,IS74 0073 4541 3071 3913 6404 08,387 SNI,UT,Nissan-200SX License #: 387 SNI,4710,12079,5123
Oldsmobile,Aurora,quam suspendisse,KW70 YCEB DLN5 TEDB WDIA URME YP4C HS,765 SYI,OK,Oldsmobile-Aurora License #: 765 SYI,2344,2629,19658
Morgan,Aero 8,arcu libero,MT31 MKFO 5449 2SHW PZNL JTA2 QYC6 5OQ,290 GFO,AL,Morgan-Aero 8 License #: 290 GFO,2939,4459,4885
Chevrolet,Metro,interdum,FR83 5844 1429 10UE E32R DLD8 152,604 SXF,IA,Chevrolet-Metro License #: 604 SXF,10812,13637,16598
Honda,Odyssey,lorem,FR91 5464 5567 58DI AND1 UKJS 652,536 DMY,MA,Honda-Odyssey License #: 536 DMY,9131,15494,4988
Nissan,Rogue,sit amet,GB60 QTSU 3147 0314 2112 29,623 QBJ,SC,Nissan-Rogue License #: 623 QBJ,19525,4278,16221
Toyota,Cressida,tortor,HU18 3959 7977 1371 3476 3661 0250,112 RIV,TX,Toyota-Cressida License #: 112 RIV,17057,15723,15690
Lexus,RX Hybrid,amet erat,MT39 DYWH 7914 2D47 B94Q SQOO YDOM JSV,611 JMG,CO,Lexus-RX Hybrid License #: 611 JMG,18416,3179,14610
Honda,Prelude,eget,FR09 3586 7111 33BR IC5Q JGKZ X12,697 OXD,TX,Honda-Prelude License #: 697 OXD,10597,3773,4847
Nissan,Sentra,massa,LI20 8314 9OVA QFQ8 CG29 0,627 NHJ,VA,Nissan-Sentra License #: 627 NHJ,19992,9278,5482
Mazda,Mazda2,nulla suscipit,FR46 3453 5239 80O1 WEFW BPE8 H61,539 GAX,NC,Mazda-Mazda2 License #: 539 GAX,18507,10464,8190
Nissan,370Z,et,LV98 HPQA TGXD G6XY CBTL P,931 UFG,ND,Nissan-370Z License #: 931 UFG,14198,2095,14272
Buick,LeSabre,sit amet,IT41 A123 2009 655E KB3B NM3Y OA4,032 WKP,IN,Buick-LeSabre License #: 032 WKP,3131,15835,16584
GMC,Terrain,tincidunt,ES94 1377 7093 2506 9751 2335,430 MBU,TX,GMC-Terrain License #: 430 MBU,19307,16081,14136
Saab,9-5,sed,AE64 3498 6300 7837 9484 753,486 EMF,OH,Saab-9-5 License #: 486 EMF,15334,16814,12053
Toyota,Supra,metus,IS27 5256 3283 9761 1562 5776 94,982 RYT,CA,Toyota-Supra License #: 982 RYT,16573,12620,9760
Chevrolet,Suburban 1500,sagittis nam,KW26 YBJQ DBQ8 6J3S GXUP ZTBK OYNR MA,740 EXN,LA,Chevrolet-Suburban 1500 License #: 740 EXN,11882,13625,5343
GMC,Safari,tincidunt nulla,FR68 2345 5698 523H TNLI IJI8 N00,977 FBG,AL,GMC-Safari License #: 977 FBG,3271,3008,6938
Volkswagen,New Beetle,augue,NO64 8963 0568 418,930 EWI,TX,Volkswagen-New Beetle License #: 930 EWI,3824,16553,2067
Mercedes-Benz,Sprinter 3500,sed,FR29 2132 0910 51FO J5GU 9HJH H93,252 EYU,NY,Mercedes-Benz-Sprinter 3500 License #: 252 EYU,14717,13642,14780
Jeep,Cherokee,nisi volutpat,GL97 2586 8515 1648 31,583 NIE,MS,Jeep-Cherokee License #: 583 NIE,13296,4587,5066
Chevrolet,Impala SS,vel,SM82 D216 3096 940E ERKC PIPH BCH,355 LQA,VA,Chevrolet-Impala SS License #: 355 LQA,7024,4114,11179
Kia,Sportage,luctus,CR94 6908 5020 5274 2856 0,159 FEW,NV,Kia-Sportage License #: 159 FEW,13096,4034,6429
Dodge,Caravan,blandit ultrices,GR87 5589 494I ALXV BRY6 APQO NTK,569 HOG,GA,Dodge-Caravan License #: 569 HOG,14941,5158,4835
Mazda,626,habitasse platea,TR53 7867 7I2D CNWD PVBK FGJB PU,819 LGE,NV,Mazda-626 License #: 819 LGE,16705,14770,14732
Bentley,Continental GTC,cubilia curae,GR30 9091 005M LRL4 0IZJ ROBG EKL,989 OIM,NY,Bentley-Continental GTC License #: 989 OIM,7056,7601,13588
Land Rover,Range Rover,nulla nunc,BH45 WVAR 9SSF 2W3M M37N SX,329 SZK,OR,Land Rover-Range Rover License #: 329 SZK,16046,17094,7845
GMC,Yukon,est donec,RS61 4557 5961 5119 5477 76,442 BQY,FL,GMC-Yukon License #: 442 BQY,16408,4634,15544
Cadillac,Seville,ultrices posuere,GT33 WFAA RP1F CI0Q NYJ8 2XTU UZJ6,378 HWF,TX,Cadillac-Seville License #: 378 HWF,16248,6832,13307
Chevrolet,G-Series G20,nulla,PT05 8362 9549 0424 6611 9189 2,514 NZT,WA,Chevrolet-G-Series G20 License #: 514 NZT,12290,14902,6945
Mitsubishi,Chariot,vel pede,IS38 6021 4048 4462 7681 6774 73,977 TDP,WV,Mitsubishi-Chariot License #: 977 TDP,19490,17778,14567
Toyota,Camry Hybrid,nunc,CH53 9919 8T2A JF0T ET7T I,272 MOC,CA,Toyota-Camry Hybrid License #: 272 MOC,5608,13528,8923
GMC,Yukon,in,BH11 GOFC MRKI 0HJL ISMY TD,300 PNY,IL,GMC-Yukon License #: 300 PNY,19211,13345,11851
Toyota,Tundra,montes nascetur,DO10 TDC3 1652 3765 4937 0276 2625,721 ASH,NC,Toyota-Tundra License #: 721 ASH,4665,10385,17430
Lincoln,Mark LT,vivamus,CZ98 7855 5555 1918 7778 7086,520 HZD,CA,Lincoln-Mark LT License #: 520 HZD,19476,11614,13105
Buick,Enclave,congue,MT85 ZMYF 4174 1MIX UMYV NLVW QPHR CPD,386 WMC,TN,Buick-Enclave License #: 386 WMC,19887,9185,8175
GMC,Sierra,diam,HR04 8887 4418 8794 3334 7,614 AMO,VA,GMC-Sierra License #: 614 AMO,7520,12453,12092
Nissan,240SX,praesent lectus,BE62 3551 2625 6760,650 PTN,NC,Nissan-240SX License #: 650 PTN,12581,3935,8996
BMW,3 Series,amet lobortis,KW79 KMWP DW9R Q42I LGKP HJRD SIRH S3,836 BIC,MI,BMW-3 Series License #: 836 BIC,16185,16567,3826
Ford,Th!nk,tortor eu,FR07 8764 5454 99SB SBDJ KNLX F62,726 KMX,FL,Ford-Th!nk License #: 726 KMX,8695,12887,14677
Ford,F-Series,eget,BE54 4890 5201 2816,528 YDC,MN,Ford-F-Series License #: 528 YDC,19450,5339,12789
Nissan,300ZX,at,FR46 9002 0172 44RM 5TRB FLJS G33,010 JLI,FL,Nissan-300ZX License #: 010 JLI,14127,4964,15652
Lexus,GS,sit amet,DO32 7BPF 2801 1378 7478 2158 4784,123 AOT,VA,Lexus-GS License #: 123 AOT,6734,9711,16341
Lexus,IS-F,et magnis,FR84 6732 3323 45IY MYKS EF87 H87,600 PEG,TX,Lexus-IS-F License #: 600 PEG,10580,13034,11986
Nissan,Pathfinder,gravida nisi,GR77 3489 903O W7R8 VAAA L9RP XOM,841 SDB,GA,Nissan-Pathfinder License #: 841 SDB,19960,5631,18859
Bentley,Continental,rutrum,FR74 2543 1937 40JA PAEU KSWF O59,748 SJL,IL,Bentley-Continental License #: 748 SJL,16090,3221,5412
Buick,Reatta,ultrices vel,FR71 6187 7232 59HY F2FJ SS3N 688,011 BQE,NY,Buick-Reatta License #: 011 BQE,11955,14170,19009
Lexus,LX,lobortis convallis,FR11 4465 0033 87VI HIVI PJ47 Y05,375 IKJ,PA,Lexus-LX License #: 375 IKJ,9618,2596,4002
Isuzu,Rodeo,pulvinar sed,ME07 2376 8122 0264 6412 45,248 YZA,TN,Isuzu-Rodeo License #: 248 YZA,11563,12392,2128
Subaru,Outback,lacinia erat,MR52 5556 6789 6034 2256 6245 721,390 TKF,OH,Subaru-Outback License #: 390 TKF,13278,4577,12564
Ford,E-Series,faucibus,IT41 N729 0721 907M MIMW SOUP PQX,700 GXF,TX,Ford-E-Series License #: 700 GXF,8104,11728,11804
Hummer,H2,ultrices vel,ES93 3882 7766 7627 7179 4904,139 LMY,AL,Hummer-H2 License #: 139 LMY,10476,2205,4037
Jeep,Grand Cherokee,libero nullam,LI27 4665 3MV9 IBXF OHCV I,063 COS,CA,Jeep-Grand Cherokee License #: 063 COS,17471,18130,2582
Toyota,Highlander,tristique tortor,SA83 58NS BOID GFOO ZOII NQ2T,542 SRX,LA,Toyota-Highlander License #: 542 SRX,15251,4404,7350
Pontiac,Firebird,nisi at,AL73 3122 0669 UWJW OY8S RF5D FUBB,466 SYX,GA,Pontiac-Firebird License #: 466 SYX,2609,9936,19007
Ford,Mustang,nam nulla,FR92 6010 4352 70IJ A462 IB0U Z24,347 XAB,CA,Ford-Mustang License #: 347 XAB,2460,19108,15615
Subaru,Forester,cum,FR37 8953 9780 62CH HOE3 WUGC U33,416 BPV,MN,Subaru-Forester License #: 416 BPV,5390,11404,9665
Mercedes-Benz,GL-Class,eros,FR92 4612 3301 790L QZSW GN3E K07,226 HTW,SC,Mercedes-Benz-GL-Class License #: 226 HTW,9415,2235,5846
Volvo,V50,blandit ultrices,MC02 6836 8748 57GG BNK8 EGW4 U20,008 DHU,MI,Volvo-V50 License #: 008 DHU,3500,8844,3055
Mercedes-Benz,Sprinter 3500,justo sollicitudin,LI40 2641 4D0M BD3A F8EL P,998 JAH,CT,Mercedes-Benz-Sprinter 3500 License #: 998 JAH,19685,5896,17508
Chevrolet,Avalanche 1500,montes nascetur,CH74 3535 34WQ ACLC EGVX C,753 MJF,PA,Chevrolet-Avalanche 1500 License #: 753 MJF,7701,5833,7639
Hyundai,Accent,duis aliquam,MT35 GWIX 2036 0TTN 1GPW 1FCI 6MAV KTA,821 OFM,CA,Hyundai-Accent License #: 821 OFM,19859,18142,3945
Chevrolet,Uplander,erat,FR81 2750 2958 12Y9 EZER TIOQ Q02,717 FET,CA,Chevrolet-Uplander License #: 717 FET,11462,9173,11980
Ford,F150,ridiculus mus,FR21 5698 3320 31ZS KKYQ PQH6 H86,906 SGH,KS,Ford-F150 License #: 906 SGH,2539,9396,7746
Mercedes-Benz,C-Class,augue vestibulum,FR92 9853 5779 541D VZYS BJBR B74,448 VSG,CO,Mercedes-Benz-C-Class License #: 448 VSG,4152,4474,9313
Chevrolet,Suburban 2500,erat fermentum,MK23 264E DKLD V7KY O31,189 JSE,OK,Chevrolet-Suburban 2500 License #: 189 JSE,15704,10261,11466
Volvo,S80,justo in,AL91 6823 0883 NL2Z XBEI MRAJ ROFH,365 JZF,IN,Volvo-S80 License #: 365 JZF,5988,4332,12082
Jaguar,XJ,aliquet maecenas,SE63 1473 6720 0408 6782 4128,469 NFX,NJ,Jaguar-XJ License #: 469 NFX,4777,15199,18430
Hyundai,Tiburon,lobortis,FR86 4420 4947 19E0 IEM3 ZW6L 976,331 HRY,NY,Hyundai-Tiburon License #: 331 HRY,5359,8518,19757
Buick,Rendezvous,aenean,FR89 1326 1730 97TH F3FQ DB2D K02,122 VHD,IL,Buick-Rendezvous License #: 122 VHD,16475,15640,15147
Chevrolet,Impala,ut nunc,EE54 5461 1577 3169 3020,318 NKH,TN,Chevrolet-Impala License #: 318 NKH,16386,6122,18859
Isuzu,Rodeo,nulla integer,GB09 BCAY 8523 6164 5976 39,061 SFD,OH,Isuzu-Rodeo License #: 061 SFD,7397,10683,7970
Saturn,VUE,morbi,CZ42 5008 6519 1805 3292 6000,786 PHQ,TX,Saturn-VUE License #: 786 PHQ,11137,15974,6236
Jeep,Grand Cherokee,commodo,TR70 1389 8TNF FCA0 9HS0 WTKY MZ,119 DKB,MO,Jeep-Grand Cherokee License #: 119 DKB,14207,14440,4208
Smart,Fortwo,urna,FR88 3081 0512 34MH DK3F HE7U 212,841 WTR,FL,Smart-Fortwo License #: 841 WTR,9287,9410,15445
Ford,Mustang,mollis molestie,AD53 1649 5618 HTKV ZVXD RREE,135 UMF,TX,Ford-Mustang License #: 135 UMF,14021,8666,14809
Infiniti,G,ante vestibulum,FR20 5976 1147 82WW A3MZ GB1V 597,301 OIT,DC,Infiniti-G License #: 301 OIT,4859,5447,5590
Ford,Bronco,nunc commodo,CZ29 6133 3827 9268 8406 2846,966 AVW,CA,Ford-Bronco License #: 966 AVW,6478,10805,19431
Volkswagen,Golf,consectetuer adipiscing,BE60 0125 7589 0715,031 MHD,CA,Volkswagen-Golf License #: 031 MHD,14646,11202,12012
Ford,Explorer,nibh ligula,AT19 6592 8778 4285 5259,937 EZR,AL,Ford-Explorer License #: 937 EZR,7438,11636,14058
Chevrolet,Camaro,mauris ullamcorper,MU44 DIQJ 8551 7528 0471 0152 679B KW,159 TFE,TX,Chevrolet-Camaro License #: 159 TFE,18636,11430,4673
Dodge,Viper RT/10,congue etiam,AL69 6671 7669 WIH8 VBEF DNOG 92BN,858 HBN,TX,Dodge-Viper RT/10 License #: 858 HBN,19560,3609,11846
Audi,200,id,FR62 4628 9224 32EH BHYB ZIUV R13,883 HRB,MD,Audi-200 License #: 883 HRB,12321,18912,12326
Hyundai,Accent,bibendum,CH58 8320 8YCM KFEH LS5A M,912 UDH,MN,Hyundai-Accent License #: 912 UDH,2235,5958,12379
Ford,Ranger,ut dolor,IE81 NLVC 2018 6700 1452 09,118 CYZ,FL,Ford-Ranger License #: 118 CYZ,16792,16785,6783
Lamborghini,Diablo,pretium iaculis,EE60 6077 9529 1684 7658,918 LKB,OR,Lamborghini-Diablo License #: 918 LKB,18475,19811,7220
Mercury,Mountaineer,eu massa,FR93 7624 9132 33CT PXOP 0NM6 Q45,431 WOG,MN,Mercury-Mountaineer License #: 431 WOG,2347,3409,5728
Ford,Crown Victoria,ipsum,CY38 6592 9034 BILK UEDY RBW7 OAYO,276 WQN,MO,Ford-Crown Victoria License #: 276 WQN,14408,8174,4899
Dodge,Dakota,condimentum,LT58 5729 1434 2076 4659,503 YIE,CA,Dodge-Dakota License #: 503 YIE,13045,3963,14624
Volvo,940,ac,VG32 NJQG 8512 6441 4227 5904,970 QMJ,OK,Volvo-940 License #: 970 QMJ,3325,13347,14726
Ford,Explorer,dui,SM11 P173 7975 218Q KYJZ HAFI MFO,510 LOX,WV,Ford-Explorer License #: 510 LOX,2909,12723,4135
Volkswagen,Eos,lacinia erat,SK10 0496 4483 3531 7492 7748,794 HAV,NC,Volkswagen-Eos License #: 794 HAV,8037,2239,8105
Lincoln,Navigator L,massa,FR62 6440 9752 18S1 AOHW RUKZ D13,226 MLT,WI,Lincoln-Navigator L License #: 226 MLT,11860,7752,13804
Audi,TT,dictumst maecenas,CH65 1093 7NLC QKQX UPQB 6,449 BTX,IL,Audi-TT License #: 449 BTX,4153,12517,18042
Porsche,911,tortor id,MU09 IOIS 2138 2185 7218 4329 577A QM,392 NJV,TX,Porsche-911 License #: 392 NJV,9189,4320,2763
GMC,Savana 2500,nec sem,NL52 VSVW 8827 5427 32,371 GBJ,MA,GMC-Savana 2500 License #: 371 GBJ,17115,17929,7608
Kia,Amanti,nulla tellus,PS16 UDVG BEI0 JPG1 DCPH PX3M IAA7 S,393 CGH,FL,Kia-Amanti License #: 393 CGH,7767,15980,9769
Acura,TL,sed,VG95 DSWB 4370 3051 9487 2571,932 ZWA,TN,Acura-TL License #: 932 ZWA,15400,16185,15491
Mazda,MX-6,rutrum nulla,SA07 41CM 8XEW UVCX UOSZ QYWP,684 FZJ,DC,Mazda-MX-6 License #: 684 FZJ,9192,14869,4411
Honda,Civic Si,faucibus,HU33 4004 3970 6599 6319 1027 3744,562 PXU,CA,Honda-Civic Si License #: 562 PXU,3209,17653,14569
Chevrolet,Suburban 1500,ridiculus mus,MD81 IYEQ M4IK 1ITX MP1X 7RYP,255 MDK,WA,Chevrolet-Suburban 1500 License #: 255 MDK,17032,11251,5731
Lexus,GS,diam vitae,AL43 7836 3818 WC75 VXFC HQ97 X5KW,235 ARB,TX,Lexus-GS License #: 235 ARB,6420,16023,13148
Lexus,LS,mi integer,SE60 1306 6277 4444 1778 1768,504 MLE,MO,Lexus-LS License #: 504 MLE,18545,19552,5842
Buick,Roadmaster,tempus vel,PT68 5812 9692 1283 8620 7540 7,702 BXI,NY,Buick-Roadmaster License #: 702 BXI,10190,7819,16096
Infiniti,QX,pede morbi,LI79 7318 1RAR AUXH GSKB J,819 RVL,MN,Infiniti-QX License #: 819 RVL,15789,13364,16145
Saturn,VUE,odio cras,AE68 4387 5919 0143 4669 844,827 FBT,SC,Saturn-VUE License #: 827 FBT,14925,12126,19399
Isuzu,Hombre,vestibulum ante,KW68 HOIH WQOU LEQJ AY4Z 4BDQ ECJL S4,068 KAE,IN,Isuzu-Hombre License #: 068 KAE,5398,13758,17337
Pontiac,LeMans,sollicitudin vitae,HU37 6887 1646 6072 2031 5654 2198,567 VGQ,WY,Pontiac-LeMans License #: 567 VGQ,17124,3002,2734
Buick,LeSabre,vestibulum rutrum,IL58 3534 0406 3870 7603 839,785 ZVA,CA,Buick-LeSabre License #: 785 ZVA,6502,3191,19749
Mercedes-Benz,C-Class,mi integer,LT06 5380 4275 1610 9063,052 VZU,TX,Mercedes-Benz-C-Class License #: 052 VZU,11040,3506,18859
Chevrolet,Corvette,pharetra magna,IE91 SVDO 1756 5237 3425 78,511 HGY,IL,Chevrolet-Corvette License #: 511 HGY,12939,15017,15180
Ford,Crown Victoria,id justo,SE41 8641 9378 6768 4757 1929,122 IZM,TN,Ford-Crown Victoria License #: 122 IZM,14176,13157,16536
Chrysler,PT Cruiser,tincidunt,MU88 NYHC 9221 2614 7021 8568 575R UF,001 BFX,OR,Chrysler-PT Cruiser License #: 001 BFX,9772,12443,12078
Hyundai,Tiburon,lacinia,IE92 JILQ 3019 6233 7801 51,894 YQD,CA,Hyundai-Tiburon License #: 894 YQD,15751,8518,5736
Lincoln,Navigator L,ipsum,LB44 7231 6THB EDD2 G8G4 TSUI NCXU,396 PMO,NY,Lincoln-Navigator L License #: 396 PMO,2285,18592,16321
Oldsmobile,Cutlass,urna,SK89 6941 2377 5873 7415 0946,032 KJS,IL,Oldsmobile-Cutlass License #: 032 KJS,15340,10895,2574
Cadillac,Fleetwood,erat,PS53 XKHM BTHW 5K8D 8SJV QWZD DSLH P,396 LEV,TX,Cadillac-Fleetwood License #: 396 LEV,9824,17072,19149
GMC,Sierra 2500,vulputate,IS09 9391 4305 3368 1728 4056 36,095 GAN,FL,GMC-Sierra 2500 License #: 095 GAN,6630,6098,10470
Ford,F350,velit,MR12 6157 6600 4826 2817 8329 232,073 PQZ,TX,Ford-F350 License #: 073 PQZ,6243,10586,15568
Toyota,Tacoma,neque sapien,IL57 9468 0936 0668 6219 044,980 HVS,NH,Toyota-Tacoma License #: 980 HVS,3607,6665,17948
Hyundai,Sonata,vestibulum ante,MC65 8732 7512 12PK OWOV YMND Q88,902 IUQ,CA,Hyundai-Sonata License #: 902 IUQ,7784,9776,3617
Pontiac,Bonneville,imperdiet et,FR13 8517 4689 06IO BBHY 9LNA L69,649 PFL,VT,Pontiac-Bonneville License #: 649 PFL,15815,2361,4155
Pontiac,Grand Prix,quam sollicitudin,FR90 0745 9620 19HX CC07 MSJO V20,515 PVR,CA,Pontiac-Grand Prix License #: 515 PVR,12144,19564,15146
Pontiac,Grand Prix,dis parturient,MD08 FPKV 8CAB N90G IWJ5 QMC4,645 QNI,AL,Pontiac-Grand Prix License #: 645 QNI,7689,9297,15769
Audi,Allroad,in eleifend,NO25 9941 2264 072,111 JTG,TX,Audi-Allroad License #: 111 JTG,18704,5269,15265
Plymouth,Neon,nibh,MK40 252C JSS7 PD5B F16,750 YSJ,TX,Plymouth-Neon License #: 750 YSJ,19976,4253,11453
Chevrolet,SSR,mattis odio,FR80 2394 9094 58KU QMXW AZGZ E64,312 LBA,WA,Chevrolet-SSR License #: 312 LBA,7906,3751,2752
Toyota,Camry,erat curabitur,AZ68 EXDS 1SJR IQGD CBNE J0JE Q5LJ,061 LRO,AR,Toyota-Camry License #: 061 LRO,13964,16508,4164
GMC,Sierra 3500,orci,BH88 NZRR JLUV K5ZB JLOV HO,586 BDE,TX,GMC-Sierra 3500 License #: 586 BDE,4795,13304,19043
Mazda,B-Series Plus,rhoncus sed,MT91 VFMC 0056 8P93 9WUW S4UM ZX3C BXD,463 SYE,DC,Mazda-B-Series Plus License #: 463 SYE,19193,18812,17324
Mercury,Mystique,morbi,LU80 485B LBR2 SUSR 4XDM,210 HRJ,FL,Mercury-Mystique License #: 210 HRJ,17305,17850,7775
Chevrolet,Beretta,nulla tellus,CH30 4545 4FHV R96P RWDR A,690 EBP,TX,Chevrolet-Beretta License #: 690 EBP,18871,2847,16424
Mazda,Miata MX-5,vel nulla,BE37 2964 5197 9687,700 VCP,CA,Mazda-Miata MX-5 License #: 700 VCP,15548,6313,18848
Mercedes-Benz,CLS-Class,ac,MC18 5587 4203 50AD 04OK VLNM F63,366 JOL,MI,Mercedes-Benz-CLS-Class License #: 366 JOL,9584,16819,12647
Lexus,GS,libero nam,SM23 Y091 2631 4974 JYKJ BHAB PNJ,036 PKL,DC,Lexus-GS License #: 036 PKL,13542,6222,8240
Jaguar,S-Type,turpis integer,PT69 0828 1643 2195 3437 7204 1,067 LIG,VA,Jaguar-S-Type License #: 067 LIG,17285,11251,5163
Honda,CR-V,eros suspendisse,LB12 0689 2ZKE XGY5 11QV YGKO QACT,162 VMZ,FL,Honda-CR-V License #: 162 VMZ,14549,6359,15813
Mercury,Grand Marquis,rhoncus aliquam,FI20 1680 0432 8817 78,312 TQY,TX,Mercury-Grand Marquis License #: 312 TQY,9044,13013,13016
Mercedes-Benz,E-Class,sapien,ME61 8916 1443 1030 1425 96,470 UAD,DC,Mercedes-Benz-E-Class License #: 470 UAD,10046,18641,2298
Dodge,Magnum,libero non,DE52 2457 4223 1307 6068 78,075 RKG,TX,Dodge-Magnum License #: 075 RKG,16124,10271,16383
Kia,Optima,erat,SI89 2545 1964 5628 803,754 EQA,TX,Kia-Optima License #: 754 EQA,15400,16243,2387
